guardian_rank,title,author
1,Middlemarch,George Eliot
2,Beloved,Toni Morrison
3,Ulysses,James Joyce
4,To the Lighthouse,Virginia Woolf
5,In Search of Lost Time,Marcel Proust
6,Anna Karenina,Leo Tolstoy
7,War and Peace,Leo Tolstoy
8,Jane Eyre,Charlotte Brontë
9,Pride and Prejudice,Jane Austen
10,Madame Bovary,Gustave Flaubert
11,The Great Gatsby,F Scott Fitzgerald
12,Bleak House,Charles Dickens
13,Emma,Jane Austen
14,Mrs Dalloway,Virginia Woolf
15,Moby-Dick,Herman Melville
16,Nineteen Eighty-Four,George Orwell
17,One Hundred Years of Solitude,Gabriel García Márquez
18,Persuasion,Jane Austen
19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
20,Wuthering Heights,Emily Brontë
21,The Portrait of a Lady,Henry James
22,Things Fall Apart,Chinua Achebe
23,Midnight's Children,Salman Rushdie
24,The Remains of the Day,Kazuo Ishiguro
25,Lolita,Vladimir Nabokov
26,Don Quixote,Miguel de Cervantes
27,The Trial,Franz Kafka
28,The Brothers Karamazov,Fyodor Dostoyevsky
29,Pale Fire,Vladimir Nabokov
30,Frankenstein,Mary Shelley
31,The Prime of Miss Jean Brodie,Muriel Spark
32,The God of Small Things,Arundhati Roy
33,David Copperfield,Charles Dickens
34,Wolf Hall,Hilary Mantel
35,Great Expectations,Charles Dickens
36,The Handmaid's Tale,Margaret Atwood
37,Invisible Man,Ralph Ellison
38,The Age of Innocence,Edith Wharton
39,Their Eyes Were Watching God,Zora Neale Hurston
40,Song of Solomon,Toni Morrison
41,Heart of Darkness,Joseph Conrad
42,The Magic Mountain,Thomas Mann
43,Housekeeping,Marilynne Robinson
44,Giovanni's Room,James Baldwin
45,The Golden Notebook,Doris Lessing
46,The Leopard,Giuseppe Tomasi di Lampedusa
47,Vanity Fair,William Makepeace Thackeray
48,The Metamorphosis,Franz Kafka
49,A Fine Balance,Rohinton Mistry
50,Wide Sargasso Sea,Jean Rhys
51,My Brilliant Friend,Elena Ferrante
52,The Golden Bowl,Henry James
53,The Transit of Venus,Shirley Hazzard
54,Orlando,Virginia Woolf
55,The Waves,Virginia Woolf
56,Mansfield Park,Jane Austen
57,The Sound and the Fury,William Faulkner
58,Disgrace,JM Coetzee
59,Never Let Me Go,Kazuo Ishiguro
60,Howards End,EM Forster
61,The Rings of Saturn,WG Sebald
62,Half of a Yellow Sun,Chimamanda Ngozi Adichie
63,White Teeth,Zadie Smith
64,The Good Soldier,Ford Madox Ford
65,The Color Purple,Alice Walker
66,The Master and Margarita,Mikhail Bulgakov
67,The Man Without Qualities,Robert Musil
68,Blood Meridian,Cormac McCarthy
69,Crime and Punishment,Fyodor Dostoevsky
70,Jude the Obscure,Thomas Hardy
71,Kindred,Octavia E Butler
72,Our Mutual Friend,Charles Dickens
73,Austerlitz,WG Sebald
74,Nervous Conditions,Tsitsi Dangarembga
75,The Bluest Eye,Toni Morrison
76,Dracula,Bram Stoker
77,The Rainbow,DH Lawrence
78,A House for Mr Biswas,VS Naipaul
79,Go Tell It on the Mountain,James Baldwin
80,Rebecca,Daphne du Maurier
81,Buddenbrooks,Thomas Mann
82,The End of the Affair,Graham Greene
83,A Farewell to Arms,Ernest Hemingway
84,The Talented Mr Ripley,Patricia Highsmith
85,The Vegetarian,Han Kang
86,The Turn of the Screw,Henry James
87,The Line of Beauty,Alan Hollinghurst
88,Ragtime,EL Doctorow
89,The Left Hand of Darkness,Ursula K Le Guin
90,Jacob's Room,Virginia Woolf
91,Life and Fate,Vasily Grossman
92,Sentimental Education,Gustave Flaubert
93,Invisible Cities,Italo Calvino
94,The Known World,Edward P Jones
95,The Return of the Native,Thomas Hardy
96,Pedro Páramo,Juan Rulfo
97,Catch-22,Joseph Heller
98,The Road,Cormac McCarthy
99,The Go-Between,LP Hartley
100,My Ántonia,Willa Cather